,部分,考试类型,三元组
0,高考学考,秋考,"(上海招考热线网站, 发布, 高考报名公告)"
1,高考学考,秋考,"(2024年高考大报名信息采集时间, 信息采集时间, 2023年10月16日至19日8点-21点及10月20日8点-16点)"
2,高考学考,秋考,"(2023年10月16日至19日, 信息采集时段, 每天的8点-21点)"
3,高考学考,秋考,"(2024年高考大报名信息采集时间, 额外采集时间, 10月20日8点-16点)"
4,高考学考,秋考,"(中等职业学校, 包括, 中专)"
5,高考学考,秋考,"(中等职业学校, 包括, 技校)"
6,高考学考,秋考,"(学籍所在学校, 组织, 网上报名)"
7,高考学考,秋考,"(往届生, 属于, 非本市应届高中阶段毕业生)"
8,高考学考,秋考,"(非本市学籍应届生, 属于, 非本市应届高中阶段毕业生)"
9,高考学考,秋考,"(非本市应届高中阶段毕业生, 报名方式, 上海市教育考试院报名网站)"
10,高考学考,秋考,"(非本市应届高中阶段毕业生, 报名参加, 20XX年高考)"
11,高考学考,秋考,"(本市户籍外省市就读考生, 选择, 户口所在区)"
12,高考学考,秋考,"(本市户籍往届生, 选择, 户口所在区)"
13,高考学考,秋考,"(在职职工, 选择, 单位所在区)"
14,高考学考,秋考,"(本市户籍外省市就读考生, 报名参加, 20XX年高考)"
15,高考学考,秋考,"(本市户籍往届生, 报名参加, 上海市20XX年高考)"
16,高考学考,秋考,"(高考学考-秋考, 包含, 报名篇)"
17,高考学考,秋考,"(报名成功, 获得, 流水号)"
18,高考学考,秋考,"(秋考, 包含, 报名篇)"
19,高考学考,秋考,"(系统, 允许多次修改, 报名信息)"
20,高考学考,秋考,"(报名信息, 修改截止时间, 网上报名截止前)"
21,高考学考,秋考,"(系统, 采用, 最后一次填写信息)"
22,高考学考,秋考,"(在校生, 联系, 在校老师)"
23,高考学考,秋考,"(往届生, 联系, 区考试招生机构)"
24,高考学考,秋考,"(社会生, 联系, 区考试招生机构)"
25,高考学考,秋考,"(报考填写的信息错误, 处理阶段, 报考确认)"
26,高考学考,秋考,"(秋考, 包含, 报名篇)"
27,高考学考,秋考,"(基本信息, 包含, 政治面貌)"
28,高考学考,秋考,"(基本信息, 包含, 户籍所在地)"
29,高考学考,秋考,"(基本信息, 包含, 通讯地址)"
30,高考学考,秋考,"(考生, 申请更正, 基本信息)"
31,高考学考,秋考,"(考生, 需提交, 书面申请及相关证明材料)"
32,高考学考,秋考,"(书面申请, 需附带, 相关证明材料)"
33,高考学考,秋考,"(学籍所在学校, 处理, 书面申请)"
34,高考学考,秋考,"(区考试招生机构, 处理, 书面申请)"
35,高考学考,秋考,"(考生基本信息修改, 有更正次数, 4次)"
36,高考学考,秋考,"(信息变更, 处理机构, 学籍所在学校或区考试招生机构)"
37,高考学考,秋考,"(信息变更, 处理机构, 学籍所在学校或区考试招生机构)"
38,高考学考,秋考,"(2024年高考信息修改时间, 第一次修改时间, 2024年1月9日)"
39,高考学考,秋考,"(2024年高考信息修改时间, 第二次信息更正时间, 2024年3月初)"
40,高考学考,秋考,"(2024年高考信息修改时间, 包含时间段, 2024年4月中上旬)"
41,高考学考,秋考,"(2024年高考信息修改时间, 第四次更正时间, 2024年6月10日)"
42,高考学考,秋考,"(第一次补报名, 时间, 2024年3月初)"
43,高考学考,秋考,"(2024年4月中上旬, 对应补报名阶段, 第二次补报名)"
44,高考学考,秋考,"(2024年6月10日, 对应阶段, 秋考后)"
45,高考学考,秋考,"(中高职贯通考生, 需报名, 高考)"
46,高考学考,秋考,"(中本贯通, 必须报名, 高考)"
47,高考学考,秋考,"(五年一贯制学生, 需办理报名手续, 高考)"
48,高考学考,秋考,"(五年一贯制学生, 需办理, 报名手续)"
49,高考学考,秋考,"(上海教育考试院, 规定, 报名手续)"
50,高考学考,秋考,"(中本贯通转段, 需要参加, 三校生高考)"
51,高考学考,秋考,"(中高职贯通转段, 需进行, 高考报名)"
52,高考学考,秋考,"(五年一贯制, 需进行, 高考报名)"
53,高考学考,秋考,"(中高职贯通转段, 负责机构, 所在学校)"
54,高考学考,秋考,"(五年一贯制, 考试负责机构, 所在学校)"
55,高考学考,秋考,"(保送生, 包含, 外语及竞赛保送生)"
56,高考学考,秋考,"(运动训练专业考生, 属于, 拔尖创新人才选拔录取的考生)"
57,高考学考,秋考,"(武术与民族传统体育专业考生, 属于, 拔尖创新人才选拔录取的考生)"
58,高考学考,秋考,"(高水平运动队, 属于, 拔尖创新人才选拔录取的考生)"
59,高考学考,秋考,"(西藏高中班学生, 属于, 拔尖创新人才选拔录取的考生)"
60,高考学考,秋考,"(新疆高中班学生, 属于, 拔尖创新人才选拔录取的考生)"
61,高考学考,秋考,"(西藏中职班学生, 属于, 拔尖创新人才选拔录取的考生)"
62,高考学考,秋考,"(英才班, 属于, 拔尖创新人才选拔录取的考生)"
63,高考学考,秋考,"(拔尖创新人才选拔录取的考生, 必须办理, 报名手续)"
64,高考学考,秋考,"(报名对象, 不包括, 普通高等学历教育资格的高校在校生)"
65,高考学考,秋考,"(报名对象, 不包括, 已被普通高校录取并保留入学资格的学生)"
66,高考学考,秋考,"(报名对象, 不包括, 高中阶段学校非应届毕业生)"
67,高考学考,秋考,"(报名对象, 不包括, 弄虚作假报名并违规参加普通高校招生考试的考生)"
68,高考学考,秋考,"(报名对象, 不包括, 违反国家教育考试规定且在停考期内的人员)"
69,高考学考,秋考,"(报名对象, 不包括, 触犯刑法并被采取强制措施或正在服刑者)"
70,高考学考,秋考,"(上海户口, 等同于, 本市常住户口)"
71,高考学考,秋考,"(本市户籍考生, 报名条件, 高级中等教育学校毕业或具有同等学力)"
72,高考学考,秋考,"(本市户籍高考报名条件, 包含, 同等学力者)"
73,高考学考,秋考,"(同等学力者, 包含, 具有本市常住户籍的非本市高中阶段学校毕业生)"
74,高考学考,秋考,"(同等学力者, 必须具有, 本市常住户口)"
75,高考学考,秋考,"(非本市户籍考生, 需为同住子女, 上海市海外人才居住证持证人)"
76,高考学考,秋考,"(留学人员持证人, 持有, 上海市海外人才居住证)"
77,高考学考,秋考,"(外国护照子女, 持有效, 具有本市户籍留学人员其持外国护照子女享受优惠政策证明)"
78,高考学考,秋考,"(非本市户籍考生, 父母属于, 本市常住户口)"
79,高考学考,秋考,"(市政府合作交流办, 认定, 驻沪机构工作人员)"
80,高考学考,秋考,"(非本市户籍考生, 父母为, 经市政府合作交流办认定的驻沪机构工作人员)"
81,高考学考,秋考,"(外国人, 持有, 签发地为上海的中华人民共和国外国人永久居留身份证)"
82,高考学考,秋考,"(在沪定居并持有上海签发外国人永久居留身份证的外国人, 需为, 高中阶段学校毕业生)"
83,高考学考,秋考,"(在沪台胞, 需为, 本市高中阶段学校毕业生)"
84,高考学考,秋考,"(香港特别行政区永久居民考生, 需为, 本市高中阶段学校毕业生)"
85,高考学考,秋考,"(梅山, 属于适用地区, 上海后方基地单位职工子女所在地之一)"
86,高考学考,秋考,"(本市户籍考生、本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)"
87,高考学考,秋考,"(本市户籍考生、本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件有关证明,身份证，户籍证明；)"
88,高考学考,秋考,"(本市户籍考生、本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件备注,)"
89,高考学考,秋考,"(本市户籍考生、本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)"
90,高考学考,秋考,"(本市户籍考生、本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件有关证明,身份证，户籍证明，毕业证书；)"
91,高考学考,秋考,"(本市户籍考生、本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件备注,)"
92,高考学考,秋考,"(本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)"
93,高考学考,秋考,"(本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件有关证明,身份证，户籍证明，学籍所在学校证明；)"
94,高考学考,秋考,"(本市户籍考生、非本市高中阶段学校毕业生中的应届毕业生,2024年在沪报考普通高校条件备注,)"
95,高考学考,秋考,"(本市户籍考生、非本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)"
96,高考学考,秋考,"(本市户籍考生、非本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件有关证明,身份证，户籍证明，毕业证书；)"
97,高考学考,秋考,"(本市户籍考生、非本市高中阶段学校毕业生中的往届毕业生,2024年在沪报考普通高校条件备注,)"
98,高考学考,秋考,"(本市户籍考生、驻外使领馆工作人员随任子女中的应届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)"
99,高考学考,秋考,"(本市户籍考生、驻外使领馆工作人员随任子女中的应届毕业生,2024年在沪报考普通高校条件有关证明,驻外使领馆出具回国证明，加盖使领馆印章；国外学校证明（译文版），本人常住户口登记卡；)"
100,高考学考,秋考,"(本市户籍考生、驻外使领馆工作人员随任子女中的应届毕业生,2024年在沪报考普通高校条件备注,)"
101,高考学考,秋考,"(本市户籍考生、驻外使领馆工作人员随任子女中的往届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业或具有同等学历；)"
102,高考学考,秋考,"(本市户籍考生、驻外使领馆工作人员随任子女中的往届毕业生,2024年在沪报考普通高校条件有关证明,持证人上海市居住证及积分通知单，持证人与考生的身份证；)"
103,高考学考,秋考,"(本市户籍考生、驻外使领馆工作人员随任子女中的往届毕业生,2024年在沪报考普通高校条件备注,)"
104,高考学考,秋考,"(非本市高中阶段学校毕业生中的应届毕业生，持积分达到标准分值的《上海市居住证》人员子女,2024年在沪报考普通高校条件,本市高中阶段学校毕业，且参加本市中招或父母一方连续持有《上海市居住证》3年；)"
105,高考学考,秋考,"(非本市高中阶段学校毕业生中的应届毕业生，持积分达到标准分值的《上海市居住证》人员子女,2024年在沪报考普通高校条件有关证明,持证人上海市居住证及积分通知单，持证人与考生的身份证；)"
106,高考学考,秋考,"(非本市高中阶段学校毕业生中的应届毕业生，持积分达到标准分值的《上海市居住证》人员子女,2024年在沪报考普通高校条件备注,)"
107,高考学考,秋考,"(非本市高中阶段学校毕业生中的往届毕业生，持积分达到标准分值的《上海市居住证》人员子女,2024年在沪报考普通高校条件,本市高中阶段学校毕业，且参加本市中招或父母一方连续持有《上海市居住证》3年；)"
108,高考学考,秋考,"(非本市高中阶段学校毕业生中的往届毕业生，持积分达到标准分值的《上海市居住证》人员子女,2024年在沪报考普通高校条件有关证明,持证人上海市居住证及积分通知单，持证人与考生的身份证，毕业证书；)"
109,高考学考,秋考,"(非本市高中阶段学校毕业生中的往届毕业生，持积分达到标准分值的《上海市居住证》人员子女,2024年在沪报考普通高校条件备注,)"
