文件名,类型,文本内容,部分
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"﻿
<table><tr><th colspan=""1"" valign=""top"">上海市教育委员会</th><th colspan=""1"" rowspan=""2"">文件</th></tr>
<tr><td colspan=""1"" valign=""top"">上海市体育局</td></tr>
</table>
沪教委体〔2024〕4号
上海市教育委员会 上海市体育局关于做好2024年
本市高中阶段学校招收优秀体育学生工作的通知 
各区教育局、体育局，各委属高中学校：
为全面贯彻国家和本市关于加强新时代体教融合和学校体育工作有关精神，进一步深化本市学校体育工作改革发展，按照《上海市人民政府办公厅关于加强本市中小学体育艺术工作的指导意见》（沪府办规〔2019〕10号）、《上海市教育委员会关于印发<上海市高中阶段学校招生录取改革实施办法>的通知》（沪教委规〔2021〕2号）等要求，根据2024年本市高中阶段学校招生考试总体安排，现就做好2024年本市高中阶段学校招收优秀体育学生工作有关要求通知如下：
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"一、工作目标
围绕全面育人目标，进一步健全本市优秀体育学生培养体系，完善高中阶段学校招生录取运行机制和管理体制，统一程序、统一标准，严格规范操作，强化过程管理，确保公开、公平、公正，保证中招工作平稳有序进行，促进中小学运动队高水平建设发展，更好地发挥示范引领和辐射带动效应，培养德智体美劳全面发展的社会主义建设者和接班人。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"二、组织管理
本市高中阶段学校招收优秀体育学生计划的编制、招生办法的制定和实施，按市、区两级行政部门的管理职责和工作程序进行。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"二、组织管理
（一）市教育、体育行政部门负责编制市级优秀体育学生招生计划和制定录取办法，并对各区优秀体育学生招收工作进行指导和协调。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"二、组织管理
（二）各区教育、体育行政部门负责结合本地区经济社会发展实际情况，根据教育和体育发展规划及资源配置状况等，制定本区优秀体育学生招生计划和招生录取办法。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"二、组织管理
（三）市、区招考机构根据职责范围公示相应高中阶段学校招收优秀体育学生的招生计划、招生录取办法及相关学生名单等。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"三、招生范围及规模
优秀体育学生的招收培养纳入本市学校体育“一条龙”布局建设工作体系。按照《上海市教育委员会 上海市体育局关于公布本市学校体育“一条龙”人才培养体系首批布局项目及做好相关建设发展等工作的通知》（沪教委体〔2021〕37号）公布的学校和项目，可在全市范围内招收市级优秀体育学生，招生计划纳入全市自主招生计划并由市教委进行总体统筹评估后下达。
区级学校体育“一条龙”高中阶段学校在本区招收区级优秀体育学生，具体招生范围、规模及办法等由各区教育行政部门会同区体育行政部门根据市级统一要求制定并公布。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"四、报名条件
具有2024年本市中招报名资格并完成报名，且具备以下条件之一的学生，可填写《2024年上海市高中阶段学校市级优秀体育学生资格确认报名表》（以下简称《报名表》，见附件1），并经毕业学校公示5个工作日。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"四、报名条件
（一）自2021年9月1日起获得市教育、体育行政部门认可，并与招生学校项目对口的市级及以上体育比赛集体项目前6名的主力队员或个人项目前5名的学生（《2024年上海市市级优秀体育学生市级体育赛事认定目录》，见附件2）。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"四、报名条件
（二）自2021年9月1日起获得本市由各区教育、体育行政部门举办并与招生学校项目对口的区级体育比赛集体项目第1名的主力队员或个人项目第1名的学生（须填写《2024年上海市高中阶段学校市级优秀体育学生区级赛事报考资格认定表》，见附件3），并经毕业学校报区教育、体育行政部门同意）。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"五、录取办法
市级优秀体育学生自主招生参照市实验性示范性高中、市特色普通高中自主招生录取方式进行，统一实行网上填报志愿、网上签约预录取和录取。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"五、录取办法
（一）资格确认
1\.招生学校应按照本校自主招生工作整体要求，根据运动队高水平建设发展需要，围绕对专项素质、运动技能和参赛表现等专业技能的评价，制定完善本校优秀体育学生资格确认工作方案，于2024年3月1日（星期五）前报相关教育行政部门。招生学校的资格确认工作方案经同意后，应于资格确认现场专业技能评价前2周通过本单位网站等渠道，将资格确认的项目、规模（明确小项、性别和集体项目位置等）、具体时间地点、程序及标准等信息向社会公布。
2\.招生学校应严格按照本校优秀体育学生资格确认工作方案，于2024年4月中下旬对符合报名条件的学生组织现场专业技能评价，原则上按招生规模的2倍择优通过（学生人数不足招生规模2倍的，如数通过）。资格确认现场专业技能评价须实施全程录像，专业技能与所获得赛事成绩明显不符的一律不予通过。资格确认专家组应包含一定比例的校外专家，市教委将会同市体育局组建市级专家库，随机抽取符合要求的专家全程参加并进行检查和指导。
3\.招生学校将通过资格确认的学生名单公示5个工作日后，将《2024年上海市高中阶段学校市级优秀体育学生资格确认汇总表》（见附件4）、相关学生《报名表》等报区教育行政部门。区教育行政部门会同区体育行政部门审核确认汇总相关材料，报至市科技艺术教育中心。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"五、录取办法
（二）志愿填报
通过优秀体育学生相关资格确认的学生，可于初中学业水平考试（以下简称“学业考试”）结束后，按获得资格确认的学校及项目填报不超过2个体育类自主招生志愿。同时具备艺术类资格的学生可兼报艺术类志愿，体育类和艺术类志愿总计不超过2个。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"五、录取办法
（三）录取工作
市级优秀体育学生自主招生录取工作在学业考试后按自主招生统一要求进行。招生学校要制定本校优秀体育学生自主招生工作方案，报相关教育行政部门同意后，由市教育考试院和招生学校公布。招生学校应严格按照程序和时间组织综合测试，经学校自主招生领导小组集体讨论后按招生计划进行择优足额签约预录取。
已签约预录取的优秀体育学生不得要求更改或放弃预录取。优秀体育学生学业考试总成绩（含政策性照顾加分，下同）须达到当年度本市自主招生最低投档控制分数线方可被正式录取。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"五、录取办法
（四）其他情况
部分高中阶段学校为强化竞技体育后备人才队伍建设招收少量特别优秀或确有很大发展潜力的竞技体育后备人才，以及招收从田径项目转为其他项目，或篮球、排球（沙滩排球）、网球、棒球、垒球等跨项目转换的优秀体育苗子，须由各区提出申请并事先向市青少年体育工作联席会议办公室申报。
区级优秀体育学生招生工作由各区教育、体育行政部门负责，具体可参照市级优秀体育学生的招生录取办法在统一招生批次进行，招生学校仅限本区内区实验性示范性高中与普通高中。区级优秀体育学生正式体育比赛认定目录，由各区教育、体育行政部门共同商定。各区应合理确定招生规模，科学开展资格确认，严格执行信息公示制度，不得跨区招生。区实验性示范性高中与普通高中录取的区级优秀体育学生学业考试总成绩须达到当年度本市普通高中最低投档控制分数线。
以上各项工作安排若有调整，将另行通知。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"六、监督和处理
（一）加强监督检查
市、区两级教育、体育行政部门和招考机构负责指导、监督相关学校开展招收优秀体育学生的相关工作。建立市级专家库，开展优秀体育学校招生工作的专项评估和监督检查。强化内部监督和社会监督，严格执行招生利益方回避制度，确保优秀体育学生招生相关工作顺利进行。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"六、监督和处理
（二）落实信息公开
加大信息公开力度，全面、及时、准确公布招收优秀体育学生工作相关信息，主动接受社会监督。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"六、监督和处理
（三）严查违规违纪
建立违规招生行为负面清单制度，加大对赛事成绩证书、获奖证书等材料核查力度。对在招生中违规违纪的相关人员给予相应处理，情节严重的依规依纪移送纪检监察部门进行严肃处理。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"六、监督和处理
（四）强化安全保障
各区要严格落实国家和本市有关要求，指导学校科学制定相关工作方案，规范做好各项组织工作，做好参加资格确认现场专业技能评价学生的健康提示，测试过程中密切关注学生健康状况，强化应急救护保障，确保各项招生工作平稳有序。
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"附件：1.2024年上海市高中阶段学校市级优秀体育学生资格确认报名表
2\.2024年上海市高中阶段学校市级优秀体育学生市级体育赛事认定目录
3\.2024年上海市高中阶段学校市级优秀体育学生区级体育赛事认定表
4\.2024年上海市高中阶段学校市级优秀体育学生资格确认汇总表
|上 海 市 教 育 委 员 会|上海市体育局||
| - | - | :- |
||2024年3月7日||
|抄送：市教育考试院、市科技艺术教育中心，市中学生体育协会。|||
| - | :- | :- |
|上海市教育委员会办公室|2024年3月11日印发||
—  1  —
",中考中招
上海市教育委员会 上海市体育局关于做好2024年本市高中阶段学校招收优秀体育学生工作的通知 沪教委体〔2024〕4号.md,2024中招,"附件1
2024年上海市高中阶段学校市级优秀体育学生资格确认报名表
学生所在区：                          毕业学校：                          学生报名号：                                          
<table><tr><th colspan=""1"">姓名</th><th colspan=""3""></th><th colspan=""1"">性别</th><th colspan=""1""></th><th colspan=""2"">身高</th><th colspan=""4""></th><th colspan=""2"">体重</th><th colspan=""3""></th><th colspan=""2"">出生日期</th><th colspan=""1"">年  月  日</th></tr>
<tr><td colspan=""2"">训练项目</td><td colspan=""2""></td><td colspan=""1"">专项</td><td colspan=""3""></td><td colspan=""8"">是否已在国家体育总局注册</td><td colspan=""1""></td><td colspan=""2"">注册号</td><td colspan=""1""></td></tr>
<tr><td colspan=""2"">家庭地址</td><td colspan=""5""></td><td colspan=""4"">电话</td><td colspan=""7""></td><td colspan=""1"">邮编</td><td colspan=""1""></td></tr>
<tr><td colspan=""2"">报名学校</td><td colspan=""5""></td><td colspan=""4"">身份证号</td><td colspan=""7""></td><td colspan=""1"">上海学籍号</td><td colspan=""1""></td></tr>
<tr><td colspan=""2""><p>个人特点</p><p>运动经历</p></td><td colspan=""18""></td></tr>
<tr><td colspan=""1"" rowspan=""4""><p>主要</p><p>比赛</p><p>成绩</p></td><td colspan=""5"">竞赛名称</td><td colspan=""3"">时间</td><td colspan=""4"">地点</td><td colspan=""6"">取得成绩（名次）</td><td colspan=""1"">证明人或推荐人</td></tr>
<tr><td colspan=""5""></td><td colspan=""3""></td><td colspan=""4""></td><td colspan=""6""></td><td colspan=""1"" rowspan=""3""><p></p><p></p><p>年月日</p></td></tr>
<tr><td colspan=""5""></td><td colspan=""3""></td><td colspan=""4""></td><td colspan=""6""></td></tr>
<tr><td colspan=""5""></td><td colspan=""3""></td><td colspan=""4""></td><td colspan=""6""></td></tr>
<tr><td colspan=""3""><p>毕业学校</p><p>意见</p></td><td colspan=""7"" valign=""bottom""><p>已公示5个工作日，同意该生报名。</p><p></p><p>签字（盖章）：</p><p>年  月  日</p></td><td colspan=""5""><p>招生学校</p><p>意见</p></td><td colspan=""5"" valign=""bottom""><p>已公示5个工作日，同意该生通过资格确认。</p><p></p><p>签字（盖章）：</p><p>年  月  日</p></td></tr>
<tr><td colspan=""3""><p>区青少年体育工作</p><p>联席会议办公室（体教融合办公室）意见</p></td><td colspan=""7"" valign=""bottom""><p></p><p></p><p>签字（盖章）：</p><p>年  月  日</p></td><td colspan=""5""><p>市青少年体育工作</p><p>联席会议办公室意见</p></td><td colspan=""5"" valign=""bottom""><p></p><p></p><p>签字（盖章）：</p><p>年  月  日</p></td></tr>
</table>
注：本表一式六份，由市、区教育、体育行政部门、区招考机构、招生学校各留一份。比赛成绩证明须另附页。若报名两所学校，须填写两张报名表。
",中考中招
